127.0.0.1 - - [30/Apr/2019:23:03:09 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/indextest.html HTTP/1.1" 200 37917
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/css/style/style.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/css/all.min.css HTTP/1.1" 200 55111
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/img/slide-001.jpg HTTP/1.1" 200 22507
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/img/slide-003.jpg HTTP/1.1" 200 36679
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/img/slide-002.jpg HTTP/1.1" 200 37292
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/bootstrap/dist/css/bootstrap.css HTTP/1.1" 200 181657
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/img/img-tibia-1.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/img/img-tibia-2.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/img/img-tibia-3.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21162
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/jquery/dist/jquery.min.js HTTP/1.1" 200 88151
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 74768
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:17 -0300] "GET /zweit_web_projekt/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 74256
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:03:20 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/indextest.jsp HTTP/1.1" 200 37970
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/css/style/style.css HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/img/slide-001.jpg HTTP/1.1" 200 22507
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/jquery/dist/jquery.min.js HTTP/1.1" 200 88151
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/img/slide-002.jpg HTTP/1.1" 200 37292
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/css/all.min.css HTTP/1.1" 200 55111
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21162
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/img/slide-003.jpg HTTP/1.1" 200 36679
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/bootstrap/dist/css/bootstrap.css HTTP/1.1" 200 181657
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/img/img-tibia-2.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/img/img-tibia-3.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:06 -0300] "GET /zweit_web_projekt/img/img-tibia-1.jpg HTTP/1.1" 200 102023
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:07 -0300] "GET /zweit_web_projekt/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 74256
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:07 -0300] "GET /zweit_web_projekt/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 74768
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:05:08 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:29:46 -0300] "GET /zweit_web_projekt/index.jsp HTTP/1.1" 200 4163
0:0:0:0:0:0:0:1 - - [30/Apr/2019:23:29:46 -0300] "GET /favicon.ico HTTP/1.1" 404 1085
